Timestamp,ECG Value
1730388558.5134132,313
1730388558.514405,521
1730388558.514534,323
1730388558.514614,615
1730388558.514684,390
1730388558.514751,396
1730388558.5148108,461
1730388558.514873,315
1730388558.51493,587
1730388558.5149848,354
1730388558.515043,509
1730388558.5151,427
1730388558.515152,309
1730388558.5152059,560
1730388558.51526,331
1730388558.5153909,537
1730388558.51558,388
1730388558.5159628,328
1730388558.5160818,457
1730388558.516166,321
1730388558.51629,543
1730388558.5164,360
1730388558.516475,443
1730388558.516544,433
1730388558.516609,314
1730388558.516672,584
1730388558.516734,343
1730388558.516795,569
1730388558.516971,421
1730388558.51706,306
1730388558.51716,545
1730388558.517218,324
1730388558.5172741,539
1730388558.5173278,371
1730388558.51738,389
1730388558.517432,482
1730388558.517484,314
1730388558.517536,529
1730388558.5175948,347
1730388558.5176508,497
1730388558.517707,421
1730388558.5177631,310
1730388558.517811,509
1730388558.5178502,330
1730388558.517895,594
1730388558.517938,403
1730388558.517984,333
1730388558.518028,499
1730388558.51808,319
1730388558.518126,579
1730388558.5181718,364
1730388558.5252311,461
1730388558.533202,457
1730388558.541397,311
1730388558.54955,575
1730388558.557771,341
1730388558.56595,541
1730388558.5742102,413
1730388558.5823948,313
1730388558.590531,485
1730388558.598745,325
1730388558.606893,575
1730388558.615165,375
1730388558.623296,415
1730388558.631538,480
1730388558.6396768,313
1730388558.647881,587
1730388558.6561248,353
1730388558.6643,497
1730388558.6724942,426
1730388558.680635,310
1730388558.688907,469
1730388558.697151,330
1730388558.705297,607
1730388558.7134771,405
1730388558.721645,333
1730388558.7297962,465
1730388558.7382,320
1730388558.7462988,503
1730388558.754467,353
1730388558.76263,468
1730388558.770814,436
1730388558.778951,312
1730388558.78722,524
1730388558.795368,339
1730388558.803555,516
1730388558.811777,401
1730388558.828141,513
1730388558.836343,327
1730388558.8445618,559
1730388558.856826,383
1730388558.865011,377
1730388558.873219,470
1730388558.881393,316
1730388558.8896189,573
1730388558.89781,355
1730388558.9060218,508
1730388558.914197,438
1730388558.92239,309
1730388558.9305909,516
1730388558.938714,334
1730388558.9469938,525
1730388558.955127,386
1730388558.963376,330
1730388558.971547,496
1730388558.979736,321
1730388558.987902,531
1730388558.996172,359
1730388559.0043452,445
1730388559.012533,455
1730388559.020716,312
1730388559.028936,551
1730388559.0372028,343
1730388559.045213,540
1730388559.053472,418
1730388559.061631,311
1730388559.069851,532
1730388559.078042,325
1730388559.086289,562
1730388559.09446,381
1730388559.102622,386
1730388559.110803,492
1730388559.118966,314
1730388559.127133,517
1730388559.135317,348
1730388559.143512,538
1730388559.151674,453
1730388559.159827,306
1730388559.168031,541
1730388559.1763031,332
1730388559.184433,605
1730388559.1927948,411
1730388559.2008991,335
1730388559.209146,487
1730388559.2173061,320
1730388559.2255418,550
1730388559.233568,363
1730388559.245942,466
1730388559.254078,453
1730388559.2623239,311
1730388559.270506,583
1730388559.278671,343
1730388559.286869,538
1730388559.29515,417
1730388559.3033001,314
1730388559.311525,566
1730388559.319627,323
1730388559.327849,591
1730388559.336002,384
1730388559.344258,378
1730388559.352434,462
1730388559.360566,316
1730388559.368757,613
1730388559.377006,357
1730388559.385213,493
1730388559.3934011,428
1730388559.4015749,310
1730388559.409771,558
1730388559.4179552,331
1730388559.426154,558
1730388559.4343,397
1730388559.442542,340
1730388559.450628,494
1730388559.458965,319
1730388559.467045,611
1730388559.475323,368
1730388559.483455,460
1730388559.491672,455
1730388559.499873,311
1730388559.5080729,501
1730388559.516313,339
1730388559.5244951,570
1730388559.532639,419
1730388559.5490618,576
1730388559.5572789,326
1730388559.565402,571
1730388559.573736,385
1730388559.581857,389
1730388559.5900521,514
1730388559.598211,312
1730388559.6062999,603
1730388559.614518,358
1730388559.62274,496
1730388559.6309178,433
1730388559.639091,310
1730388559.647321,477
1730388559.6595159,333
1730388559.667794,606
1730388559.676003,412
1730388559.684107,330
1730388559.692367,522
1730388559.7005608,319
1730388559.7086961,524
1730388559.716851,361
1730388559.725076,463
1730388559.7333398,472
1730388559.7414951,310
1730388559.749673,563
1730388559.757846,344
1730388559.76603,577
1730388559.7741811,433
1730388559.7824,305
1730388559.79059,522
1730388559.798799,326
1730388559.807036,627
1730388559.815238,391
1730388559.8234649,347
1730388559.831558,445
1730388559.839791,319
1730388559.848014,606
1730388559.856193,356
1730388559.864394,526
1730388559.872552,448
1730388559.8807878,307
1730388559.8890398,547
1730388559.8971992,334
1730388559.9053812,594
1730388559.913578,405
1730388559.921742,337
1730388559.930004,502
1730388559.938087,318
1730388559.946291,611
1730388559.9544861,369
1730388559.96261,486
1730388559.970866,466
1730388559.979105,308
