Timestamp,ECG Value
1730378488.184801,303
1730378488.18513,280
1730378488.1851652,342
1730378488.18519,492
1730378488.185214,360
1730378488.1852381,291
1730378488.18526,291
1730378488.185281,293
1730378488.185302,294
1730378488.185323,298
1730378488.185343,300
1730378488.185364,302
1730378488.185385,307
1730378488.185405,315
1730378488.1854248,319
1730378488.1854458,316
1730378488.185466,315
1730378488.185487,316
1730378488.185507,317
1730378488.185527,319
1730378488.185548,320
1730378488.200334,324
1730378488.220704,325
1730378488.24132,332
1730378488.2618291,349
1730378488.2781298,328
1730378488.298669,320
1730378488.319146,318
1730378488.339645,319
1730378488.360171,276
1730378488.3805661,433
1730378488.401012,459
1730378488.421599,352
1730378488.4420118,310
1730378488.462486,311
1730378488.482888,314
1730378488.503443,315
1730378488.523972,316
1730378488.544353,319
1730378488.564912,321
1730378488.585381,325
1730378488.605828,332
1730378488.626185,332
1730378488.646763,328
1730378488.667156,328
1730378488.687735,326
1730378488.7041411,323
1730378488.724628,325
1730378488.745108,326
1730378488.765543,325
1730378488.786006,327
1730378488.806468,333
1730378488.8269591,347
1730378488.847479,328
1730378488.8679092,316
1730378488.888494,315
1730378488.908863,314
1730378488.929423,273
1730378488.949876,400
1730378488.970363,457
1730378488.990894,349
1730378489.0113401,299
1730378489.03178,296
1730378489.052199,297
1730378489.072713,299
1730378489.0932548,299
1730378489.1095371,301
1730378489.130123,302
1730378489.150576,307
1730378489.171097,314
1730378489.191552,317
1730378489.212082,313
1730378489.2325041,312
1730378489.253032,310
1730378489.2734761,309
1730378489.293868,310
1730378489.31442,311
1730378489.3348129,313
1730378489.3553212,318
1730378489.3758662,322
1730378489.3962739,336
1730378489.416859,323
1730378489.437207,312
1730378489.4577,310
1730378489.478175,311
1730378489.498778,280
1730378489.515092,378
1730378489.535517,445
1730378489.555973,359
1730378489.5765078,307
1730378489.597078,307
1730378489.617476,308
1730378489.6380281,308
1730378489.658477,315
1730378489.6789818,315
1730378489.6994,318
1730378489.7199109,326
1730378489.740381,332
1730378489.7608588,334
1730378489.7812932,330
1730378489.801683,325
1730378489.822284,325
1730378489.842763,327
1730378489.863277,328
1730378489.883749,329
1730378489.904213,331
1730378489.924619,342
1730378489.941049,353
1730378489.961556,331
1730378489.982,325
1730378490.002529,324
1730378490.022995,327
1730378490.043502,284
1730378490.063948,472
1730378490.084368,392
1730378490.104903,348
1730378490.125393,316
1730378490.145843,316
1730378490.166303,315
1730378490.186804,318
1730378490.207263,318
1730378490.227658,320
1730378490.2482262,321
1730378490.268636,326
1730378490.289114,330
1730378490.309563,327
1730378490.330168,322
1730378490.346565,319
1730378490.367017,316
1730378490.387558,317
1730378490.40799,321
1730378490.428472,317
1730378490.448956,320
1730378490.469475,331
1730378490.489932,336
1730378490.5104032,312
1730378490.530889,308
1730378490.551202,306
1730378490.5718021,307
1730378490.592248,270
1730378490.612778,517
1730378490.633228,371
1730378490.65374,305
1730378490.674148,296
1730378490.694759,296
1730378490.715162,296
1730378490.7355788,300
1730378490.756109,303
1730378490.772516,305
1730378490.792897,307
1730378490.8135092,313
1730378490.833956,319
1730378490.854497,315
1730378490.874913,311
1730378490.8954182,309
1730378490.9158568,310
1730378490.9362838,311
1730378490.956827,314
1730378490.97728,318
1730378490.997729,323
1730378491.018271,343
1730378491.038778,330
1730378491.059087,320
1730378491.079697,319
1730378491.100139,318
1730378491.120639,288
1730378491.141093,374
1730378491.161637,472
1730378491.178057,369
1730378491.198466,308
1730378491.2189782,311
1730378491.2394419,315
1730378491.259809,316
1730378491.280394,317
1730378491.3008718,320
1730378491.321355,323
1730378491.3418171,328
1730378491.362313,337
1730378491.382733,336
1730378491.403264,333
1730378491.423746,330
1730378491.4441128,331
1730378491.464758,329
1730378491.485153,332
1730378491.505611,330
1730378491.5260642,334
1730378491.5465899,342
1730378491.567038,352
1730378491.583477,332
1730378491.604,327
1730378491.624436,325
1730378491.6449862,326
1730378491.6654139,279
1730378491.6858702,489
1730378491.7063308,392
1730378491.726917,340
1730378491.747295,313
1730378491.7676811,313
1730378491.7882729,313
1730378491.808746,312
1730378491.829261,313
1730378491.849762,316
1730378491.8701792,317
1730378491.8906372,325
1730378491.911121,329
1730378491.931587,325
1730378491.951957,319
1730378491.97255,316
1730378491.99305,314
1730378492.009412,313
1730378492.029952,314
1730378492.05039,315
1730378492.070849,321
1730378492.0913348,333
1730378492.111867,330
1730378492.132308,311
1730378492.152811,307
1730378492.1732469,306
1730378492.1937852,302
1730378492.214174,290
1730378492.2347,509
1730378492.2552161,355
1730378492.275614,301
1730378492.296153,293
1730378492.3166232,297
1730378492.337077,299
1730378492.357541,302
1730378492.3780322,303
1730378492.398508,307
1730378492.4149601,311
1730378492.4353359,318
1730378492.455953,322
1730378492.4762611,318
1730378492.496876,315
1730378492.5172071,314
1730378492.537822,315
1730378492.558191,316
1730378492.578778,318
1730378492.599246,321
1730378492.6197681,330
1730378492.6401658,338
1730378492.6605709,341
1730378492.681152,320
1730378492.701497,319
1730378492.722059,318
1730378492.742458,319
1730378492.76305,282
1730378492.783542,561
1730378492.8040361,401
1730378492.820433,320
1730378492.840939,311
1730378492.8614578,311
1730378492.8819358,315
1730378492.902344,314
1730378492.922763,317
1730378492.94329,320
1730378492.9637692,322
1730378492.9841971,328
1730378493.00475,333
1730378493.025172,331
1730378493.045676,327
1730378493.066123,326
1730378493.0866392,325
1730378493.107152,325
1730378493.127597,327
1730378493.148014,332
1730378493.1683898,344
1730378493.189038,347
1730378493.209441,324
1730378493.229955,318
1730378493.2463832,315
1730378493.26686,312
1730378493.28739,263
1730378493.3078332,565
1730378493.32832,406
1730378493.348781,307
1730378493.3692842,297
1730378493.3897421,296
1730378493.4102242,299
1730378493.430688,300
1730378493.451082,300
1730378493.471612,301
1730378493.4921029,300
1730378493.5126069,305
1730378493.533091,313
1730378493.55354,312
1730378493.5739992,307
1730378493.594506,308
1730378493.6149719,309
1730378493.635435,309
1730378493.65172,311
1730378493.67233,316
1730378493.6928132,321
1730378493.713323,337
1730378493.733666,311
1730378493.754251,306
1730378493.7747352,305
1730378493.795207,307
1730378493.815679,259
1730378493.83617,462
1730378493.8565938,411
1730378493.877148,325
1730378493.897596,302
1730378493.9181252,300
1730378493.938554,304
1730378493.959015,308
1730378493.979491,308
1730378493.99998,314
1730378494.020454,312
1730378494.040899,324
1730378494.0614269,329
1730378494.0778391,328
1730378494.098335,326
1730378494.1188202,324
1730378494.139267,325
1730378494.1596339,325
1730378494.1802251,327
1730378494.200612,332
1730378494.2211862,337
1730378494.241612,352
1730378494.262125,336
1730378494.282583,326
1730378494.303086,321
1730378494.323533,323
1730378494.344021,286
1730378494.364522,409
1730378494.3848782,423
1730378494.4054458,361
1730378494.425815,314
1730378494.446435,314
1730378494.466866,319
1730378494.483286,318
1730378494.5037959,317
1730378494.524214,322
1730378494.5447628,324
1730378494.565224,329
1730378494.585759,336
1730378494.606171,336
1730378494.626636,329
1730378494.647147,326
1730378494.667499,324
1730378494.688097,321
1730378494.708552,324
1730378494.729023,322
1730378494.749496,322
1730378494.7700212,328
1730378494.790455,342
1730378494.810945,331
1730378494.8313951,314
1730378494.85186,312
1730378494.8723881,310
1730378494.888753,280
1730378494.9092102,371
1730378494.929764,447
1730378494.950173,357
1730378494.970759,297
1730378494.991169,295
1730378495.011629,297
1730378495.0321422,298
1730378495.052618,300
1730378495.073069,301
1730378495.09344,303
1730378495.113951,306
1730378495.134486,315
1730378495.154989,315
1730378495.175444,314
1730378495.195953,313
1730378495.2164,312
1730378495.236854,311
1730378495.257361,312
1730378495.277876,318
1730378495.298314,323
1730378495.314757,338
1730378495.335217,323
1730378495.3557389,310
1730378495.376129,307
1730378495.396679,309
1730378495.417151,266
1730378495.437558,407
1730378495.458096,454
1730378495.478569,346
1730378495.499027,300
1730378495.519467,299
1730378495.5400262,302
1730378495.560468,304
1730378495.58097,311
1730378495.601394,310
1730378495.621929,312
1730378495.642354,316
1730378495.662839,324
1730378495.68332,327
1730378495.703796,325
1730378495.720243,323
1730378495.740758,325
1730378495.761194,327
1730378495.7816708,329
1730378495.802006,330
1730378495.8226109,336
1730378495.842999,348
1730378495.863586,350
1730378495.8840342,326
1730378495.9045498,323
1730378495.9249191,324
1730378495.945466,320
1730378495.965926,297
1730378495.986399,575
1730378496.006926,409
1730378496.027364,314
1730378496.047837,311
1730378496.068225,313
1730378496.088843,314
1730378496.109185,314
1730378496.129741,315
1730378496.146213,316
1730378496.166635,318
1730378496.1871629,322
1730378496.207594,331
1730378496.228093,327
1730378496.248568,323
1730378496.2690718,321
1730378496.289571,324
1730378496.309888,320
1730378496.330467,319
1730378496.3509052,324
1730378496.371423,339
1730378496.391882,337
1730378496.412384,315
1730378496.4328341,311
1730378496.453344,310
1730378496.473818,304
1730378496.4942908,287
1730378496.514783,545
1730378496.5351958,385
1730378496.551533,301
1730378496.572149,295
1730378496.592503,297
1730378496.613108,301
1730378496.633558,300
1730378496.654047,303
1730378496.674502,302
1730378496.694994,306
1730378496.715352,313
1730378496.73596,322
1730378496.7564092,321
1730378496.776895,318
1730378496.7974138,318
1730378496.817804,315
1730378496.838389,318
1730378496.858763,319
1730378496.879304,321
1730378496.899773,340
1730378496.9202418,330
1730378496.940709,315
1730378496.9572139,313
1730378496.977639,313
1730378496.998134,287
1730378497.018472,354
1730378497.039111,470
1730378497.059426,368
1730378497.080035,308
1730378497.100491,308
1730378497.121021,310
1730378497.141454,311
1730378497.161896,317
1730378497.182388,319
1730378497.202881,320
1730378497.223341,328
1730378497.2438169,335
1730378497.264307,336
1730378497.284715,333
1730378497.305263,331
1730378497.325726,327
1730378497.346237,330
1730378497.366713,330
1730378497.383095,333
1730378497.403612,346
1730378497.424095,349
1730378497.4445848,328
1730378497.464998,324
1730378497.485364,321
1730378497.505965,321
1730378497.5264158,297
1730378497.546963,515
1730378497.567361,367
1730378497.5878599,325
1730378497.608394,313
1730378497.628896,315
1730378497.649342,315
1730378497.6698492,317
1730378497.6902452,318
1730378497.710718,319
1730378497.7312121,320
1730378497.751641,326
1730378497.772223,329
1730378497.788642,324
1730378497.8090508,320
1730378497.829532,317
1730378497.850034,317
1730378497.870543,312
1730378497.890954,319
1730378497.9114938,324
1730378497.9319081,336
1730378497.9524632,322
1730378497.972912,308
1730378497.99324,307
1730378498.0138502,305
1730378498.034241,272
1730378498.054804,391
1730378498.0752482,396
1730378498.0957592,345
1730378498.116199,292
1730378498.1367009,290
1730378498.157158,290
1730378498.177696,297
