Timestamp,ECG Value
1730380286.1172879,310
1730380286.117713,320
1730380286.117758,317
1730380286.1177878,319
1730380286.117815,320
1730380286.117842,315
1730380286.117868,329
1730380286.117894,320
1730380286.11792,324
1730380286.1179461,321
1730380286.117972,319
1730380286.1179981,325
1730380286.118027,314
1730380286.1180558,323
1730380286.118081,315
1730380286.1181061,315
1730380286.118131,323
1730380286.118159,311
1730380286.118185,322
1730380286.118212,314
1730380286.118237,317
1730380286.118261,320
1730380286.118285,312
1730380286.118309,322
1730380286.118336,313
1730380286.118361,320
1730380286.118386,319
1730380286.1184099,315
1730380286.118438,320
1730380286.1184618,316
1730380286.1184928,329
1730380286.118516,326
1730380286.11854,327
1730380286.1185632,340
1730380286.1185868,338
1730380286.118609,347
1730380286.1186292,333
1730380286.118649,330
1730380286.1186712,322
1730380286.118691,312
1730380286.118712,322
1730380286.1187332,309
1730380286.118753,316
1730380286.1187851,312
1730380286.118907,312
1730380286.118944,318
1730380286.118965,309
1730380286.118986,311
1730380286.119008,284
1730380286.1190279,301
1730380286.119049,363
1730380286.127031,451
1730380286.1351302,505
1730380286.143353,403
1730380286.15572,365
1730380286.163795,359
1730380286.1720068,332
1730380286.180217,315
1730380286.188385,299
1730380286.196667,307
1730380286.2048671,304
1730380286.2129579,306
1730380286.2211788,310
1730380286.2293692,306
1730380286.237505,316
1730380286.245763,306
1730380286.253931,314
1730380286.262114,315
1730380286.270262,312
1730380286.278495,320
1730380286.286667,311
1730380286.2948658,319
1730380286.303057,316
1730380286.31128,317
1730380286.319403,321
1730380286.327622,314
1730380286.33581,326
1730380286.344039,318
1730380286.352198,323
1730380286.360405,326
1730380286.368702,316
1730380286.3767622,326
1730380286.384963,316
1730380286.393136,324
1730380286.401331,320
1730380286.409549,314
1730380286.417829,324
1730380286.425917,312
1730380286.434207,324
1730380286.442314,318
1730380286.450572,317
1730380286.458782,320
1730380286.466971,315
1730380286.475232,326
1730380286.4833221,313
1730380286.491443,322
1730380286.4997098,322
1730380286.507906,316
1730380286.5161002,326
1730380286.524362,315
1730380286.532521,325
1730380286.544728,321
1730380286.552937,321
1730380286.561122,326
1730380286.5693738,320
1730380286.577562,337
1730380286.585705,331
1730380286.593924,343
1730380286.602127,348
1730380286.6102579,337
1730380286.618556,341
1730380286.626623,318
1730380286.6348941,322
1730380286.643082,320
1730380286.65127,314
1730380286.659364,323
1730380286.667711,314
1730380286.675745,322
1730380286.684041,317
1730380286.692288,316
1730380286.700448,319
1730380286.708641,291
1730380286.716861,299
1730380286.725019,340
1730380286.733252,425
1730380286.74139,515
1730380286.749504,443
1730380286.757798,377
1730380286.766065,360
1730380286.7742028,353
1730380286.782447,319
1730380286.790593,306
1730380286.798692,311
1730380286.8068469,305
1730380286.815108,316
1730380286.8233778,308
1730380286.8314319,310
1730380286.8397272,315
1730380286.847928,310
1730380286.856148,321
1730380286.864256,311
1730380286.872552,317
1730380286.880733,318
1730380286.888919,316
1730380286.897009,325
1730380286.9051788,316
1730380286.9133818,328
1730380286.921643,322
1730380286.933915,322
1730380286.942087,329
1730380286.950172,322
1730380286.958446,334
1730380286.966621,323
1730380286.9747999,325
1730380286.9829912,325
1730380286.991183,320
1730380286.999438,329
1730380287.0076559,315
1730380287.0157812,325
1730380287.024,320
1730380287.032208,316
1730380287.040378,324
1730380287.048579,315
1730380287.056778,323
1730380287.0649521,315
1730380287.073184,320
1730380287.081373,323
1730380287.0895329,314
1730380287.097762,321
1730380287.105927,313
1730380287.114159,324
1730380287.122325,322
1730380287.1305358,316
1730380287.138745,328
1730380287.14691,319
1730380287.155136,325
1730380287.16334,321
1730380287.171475,323
1730380287.1797252,332
1730380287.187861,325
1730380287.196092,342
1730380287.2042172,340
1730380287.212397,344
1730380287.2204869,337
1730380287.2287202,320
1730380287.236944,325
1730380287.245176,313
1730380287.2534342,318
1730380287.26151,317
1730380287.269748,312
1730380287.277921,319
1730380287.286019,310
1730380287.2942772,323
1730380287.3025029,312
1730380287.310681,302
1730380287.318825,289
1730380287.3312151,303
1730380287.339326,379
1730380287.347472,473
1730380287.3557189,491
1730380287.36395,392
1730380287.3720691,359
1730380287.380254,366
1730380287.38842,328
1730380287.396693,314
1730380287.404814,304
1730380287.413017,306
1730380287.421277,312
1730380287.429378,302
1730380287.437671,313
1730380287.445784,308
1730380287.453957,310
1730380287.462233,313
1730380287.4703622,305
1730380287.4785259,318
1730380287.4867918,313
1730380287.494956,322
1730380287.503156,317
1730380287.511329,315
1730380287.519628,322
1730380287.52782,314
1730380287.5359948,327
1730380287.544161,324
1730380287.552223,325
1730380287.560506,328
1730380287.5687318,320
1730380287.5769758,330
1730380287.585103,320
1730380287.593269,324
1730380287.601394,320
1730380287.6097229,314
1730380287.617905,324
1730380287.626016,314
1730380287.63431,322
1730380287.642501,319
1730380287.650701,317
1730380287.6588778,323
1730380287.667059,315
1730380287.675275,324
1730380287.683456,316
1730380287.691679,320
1730380287.69981,324
1730380287.7080178,319
1730380287.720248,325
1730380287.728427,314
1730380287.73673,321
1730380287.74486,318
1730380287.7530198,318
1730380287.761152,324
1730380287.769428,314
1730380287.7776089,326
1730380287.785782,324
1730380287.793969,328
1730380287.802167,332
1730380287.8103411,331
1730380287.818526,348
1730380287.826675,339
1730380287.83486,343
1730380287.843043,334
1730380287.8513129,318
1730380287.859437,325
1730380287.8676338,314
1730380287.875863,318
1730380287.884078,315
1730380287.892239,315
1730380287.900476,321
1730380287.90859,311
1730380287.916873,321
1730380287.9250162,312
1730380287.933269,293
1730380287.941493,290
1730380287.949664,338
1730380287.9577138,430
1730380287.965919,507
1730380287.9742908,436
1730380287.98238,367
1730380287.9906251,360
1730380287.998802,353
1730380288.007,312
1730380288.015174,312
1730380288.0233831,305
1730380288.03155,306
1730380288.039775,311
1730380288.04797,303
1730380288.056174,314
1730380288.0643961,308
1730380288.0725539,315
1730380288.080749,316
1730380288.088902,314
1730380288.097128,326
1730380288.109354,313
1730380288.117538,322
1730380288.1257432,322
1730380288.133986,318
1730380288.142132,326
1730380288.150333,321
1730380288.158509,331
1730380288.166677,323
1730380288.174927,326
1730380288.183124,331
1730380288.191345,323
1730380288.199444,329
1730380288.20772,320
1730380288.2158332,326
1730380288.224011,322
1730380288.232228,316
1730380288.240433,324
1730380288.248615,315
1730380288.256833,325
1730380288.265045,317
1730380288.2732108,316
1730380288.281325,321
1730380288.289566,314
1730380288.297769,326
1730380288.305974,318
1730380288.31421,319
1730380288.322331,321
1730380288.33057,317
1730380288.338725,325
1730380288.3468952,316
1730380288.355069,325
1730380288.363262,320
1730380288.371516,318
1730380288.379781,324
1730380288.387904,317
1730380288.396024,332
1730380288.404456,327
1730380288.412388,338
1730380288.420685,347
1730380288.4287648,337
1730380288.437023,343
1730380288.445151,323
1730380288.453335,321
1730380288.461637,318
1730380288.469831,314
1730380288.478008,319
1730380288.4861171,309
1730380288.494443,318
1730380288.506689,314
1730380288.514857,314
1730380288.5230238,319
1730380288.531189,305
1730380288.5394418,294
1730380288.547617,292
1730380288.555845,356
1730380288.564009,451
1730380288.5721989,499
1730380288.580387,413
1730380288.5885792,360
1730380288.596823,363
1730380288.604994,334
1730380288.6131961,305
1730380288.621375,309
1730380288.6295779,300
1730380288.6377301,309
1730380288.646007,304
1730380288.654142,306
1730380288.6623628,312
1730380288.670536,305
1730380288.678714,316
1730380288.686883,310
1730380288.695024,317
1730380288.7032871,315
1730380288.7115011,311
1730380288.7198,321
1730380288.727846,312
1730380288.73612,323
1730380288.744259,319
1730380288.7524,320
1730380288.760565,327
1730380288.768712,319
1730380288.776972,329
1730380288.785117,320
1730380288.793273,324
1730380288.8014731,324
1730380288.80968,314
1730380288.817845,323
1730380288.826027,314
1730380288.834263,322
1730380288.8425422,317
1730380288.850719,312
1730380288.858881,320
1730380288.8671181,309
1730380288.8753018,320
1730380288.883471,312
1730380288.8958058,315
1730380288.903914,319
1730380288.9121568,313
1730380288.920237,321
1730380288.928489,315
1730380288.936718,322
1730380288.944918,320
1730380288.953121,316
1730380288.961292,324
1730380288.969435,315
1730380288.977685,323
1730380288.985895,318
1730380288.994098,319
1730380289.002174,326
1730380289.0104609,324
1730380289.018707,336
1730380289.026732,333
1730380289.035003,343
1730380289.043099,342
1730380289.051363,330
1730380289.059581,331
1730380289.067769,313
1730380289.075953,318
1730380289.08416,314
1730380289.0923378,311
1730380289.100574,318
1730380289.108742,308
1730380289.1169422,319
1730380289.12514,311
1730380289.133328,314
1730380289.141504,316
1730380289.1497579,283
1730380289.1579351,298
1730380289.166096,348
1730380289.174316,451
1730380289.182493,513
1730380289.1907089,408
1730380289.198905,375
1730380289.207077,360
1730380289.215269,339
1730380289.2235048,310
1730380289.231701,304
1730380289.239838,309
1730380289.2480278,303
1730380289.256206,313
1730380289.2644029,304
1730380289.2766159,312
1730380289.284842,312
1730380289.292921,310
1730380289.301198,318
1730380289.309349,311
1730380289.3176162,322
1730380289.3257759,315
1730380289.333992,316
1730380289.3422122,322
1730380289.3503842,318
1730380289.358558,328
1730380289.3667798,323
1730380289.3750138,329
1730380289.3830888,328
1730380289.391358,324
1730380289.3995662,333
1730380289.407726,321
1730380289.4159732,329
1730380289.4241521,325
1730380289.4323368,321
1730380289.4405031,325
1730380289.448709,314
1730380289.456856,323
1730380289.465069,314
1730380289.47328,317
1730380289.4814742,320
1730380289.489726,311
1730380289.4979148,321
1730380289.506103,312
1730380289.514281,318
1730380289.52249,316
1730380289.530645,315
1730380289.5388439,324
1730380289.547039,314
1730380289.5552452,324
1730380289.563446,317
1730380289.571637,320
1730380289.579791,328
1730380289.58801,324
1730380289.596201,336
1730380289.6044002,336
1730380289.6125991,344
1730380289.620783,341
1730380289.628968,330
1730380289.637162,329
1730380289.645362,312
1730380289.653557,319
1730380289.661738,315
1730380289.673915,314
1730380289.682121,320
1730380289.690293,308
1730380289.698524,317
1730380289.706701,312
1730380289.714923,317
1730380289.72308,307
1730380289.7313468,280
1730380289.739488,313
1730380289.7477472,369
1730380289.75591,479
1730380289.764086,482
1730380289.7723148,375
1730380289.7805161,361
1730380289.788797,354
1730380289.796857,332
1730380289.805086,306
1730380289.813258,304
1730380289.821441,313
1730380289.8296452,302
1730380289.837832,312
1730380289.84604,305
1730380289.854246,311
1730380289.862355,309
1730380289.8705761,308
1730380289.878773,320
1730380289.886955,309
1730380289.8951302,316
1730380289.903362,316
1730380289.911538,315
1730380289.91973,320
1730380289.927947,315
1730380289.936115,323
1730380289.944318,316
1730380289.9524422,321
1730380289.960734,325
1730380289.9688058,318
1730380289.977102,327
1730380289.985159,319
1730380289.993485,325
1730380290.001673,319
1730380290.0097542,313
1730380290.0180302,321
1730380290.026159,312
1730380290.034388,320
1730380290.042619,313
1730380290.050831,312
1730380290.06305,320
1730380290.0712152,310
1730380290.079402,322
1730380290.087625,312
1730380290.09583,316
1730380290.10406,317
