Timestamp,ECG Value
1730379695.669804,308
1730379695.670135,302
1730379695.670184,307
1730379695.670212,301
1730379695.670238,307
1730379695.670262,309
1730379695.670284,311
1730379695.670305,315
1730379695.670326,309
1730379695.670348,313
1730379695.67037,313
1730379695.670392,315
1730379695.670413,316
1730379695.670434,313
1730379695.670455,320
1730379695.670478,317
1730379695.670499,321
1730379695.670519,321
1730379695.670541,317
1730379695.670561,329
1730379695.670582,324
1730379695.670603,325
1730379695.670623,321
1730379695.670644,318
1730379695.670665,316
1730379695.670686,309
1730379695.670706,314
1730379695.670727,311
1730379695.6707468,310
1730379695.670767,320
1730379695.670788,321
1730379695.670808,322
1730379695.670828,317
1730379695.670847,321
1730379695.670867,318
1730379695.670887,318
1730379695.670906,324
1730379695.670926,316
1730379695.6709492,323
1730379695.670968,319
1730379695.670988,319
1730379695.671008,327
1730379695.671028,316
1730379695.671047,324
1730379695.6710668,317
1730379695.671087,320
1730379695.671107,321
1730379695.671127,316
1730379695.671148,323
1730379695.671169,316
1730379695.672148,321
1730379695.6803358,319
1730379695.688481,321
1730379695.696649,324
1730379695.704879,319
1730379695.713108,328
1730379695.721268,322
1730379695.729405,330
1730379695.737642,338
1730379695.7458088,337
1730379695.754018,341
1730379695.7622359,332
1730379695.770422,327
1730379695.778613,322
1730379695.786773,318
1730379695.7950022,324
1730379695.803207,318
1730379695.811435,324
1730379695.819583,322
1730379695.82773,320
1730379695.8359811,320
1730379695.844138,318
1730379695.852353,324
1730379695.860584,315
1730379695.868795,315
1730379695.8769479,290
1730379695.885077,274
1730379695.893375,310
1730379695.9015539,480
1730379695.90976,613
1730379695.9179032,613
1730379695.926087,466
1730379695.934287,359
1730379695.942525,315
1730379695.9507148,318
1730379695.962857,308
1730379695.9710999,305
1730379695.979247,302
1730379695.987478,300
1730379695.995622,308
1730379696.003882,297
1730379696.012057,306
1730379696.0202398,305
1730379696.0283961,304
1730379696.036593,310
1730379696.0448442,304
1730379696.05301,310
1730379696.061213,308
1730379696.069427,311
1730379696.077604,312
1730379696.085824,309
1730379696.093948,319
1730379696.102209,315
1730379696.110404,320
1730379696.1185641,319
1730379696.126772,316
1730379696.134971,322
1730379696.143178,317
1730379696.151333,327
1730379696.159531,324
1730379696.167823,325
1730379696.17595,327
1730379696.1841311,320
1730379696.1922638,322
1730379696.200524,313
1730379696.2086751,315
1730379696.2168891,316
1730379696.2250628,312
1730379696.233231,315
1730379696.241455,309
1730379696.249673,319
1730379696.2578292,316
1730379696.2660239,317
1730379696.274287,320
1730379696.282305,315
1730379696.290621,324
1730379696.2987,320
1730379696.306877,322
1730379696.315087,321
1730379696.323356,318
1730379696.331472,322
1730379696.3397481,317
1730379696.352005,321
1730379696.360168,320
1730379696.368384,320
1730379696.37658,327
1730379696.384772,317
1730379696.3929842,322
1730379696.401182,319
1730379696.409334,320
1730379696.4174762,323
1730379696.425728,315
1730379696.433915,323
1730379696.4421592,318
1730379696.4503129,322
1730379696.458505,321
1730379696.466793,316
1730379696.474905,324
1730379696.48308,324
1730379696.4912949,328
1730379696.4993632,329
1730379696.507642,336
1730379696.515786,342
1730379696.524105,334
1730379696.532109,337
1730379696.5403378,323
1730379696.5485492,323
1730379696.5568829,318
1730379696.565027,318
1730379696.5732548,326
1730379696.5813582,318
1730379696.5895941,325
1730379696.5977778,323
1730379696.6059468,319
1730379696.614165,322
1730379696.6223302,318
1730379696.6305091,324
1730379696.638734,311
1730379696.646915,287
1730379696.655103,280
1730379696.663342,313
1730379696.671519,494
1730379696.679729,602
1730379696.687892,586
1730379696.696081,452
1730379696.704213,349
1730379696.7125351,322
1730379696.7206569,309
1730379696.728802,311
1730379696.7409768,303
1730379696.749203,302
1730379696.757406,305
1730379696.765644,299
1730379696.773835,308
1730379696.781954,303
1730379696.7902532,306
1730379696.798358,308
1730379696.806607,305
1730379696.814827,312
1730379696.822989,307
1730379696.831189,312
1730379696.839424,308
1730379696.847604,311
1730379696.8558002,319
1730379696.863887,316
1730379696.872164,325
1730379696.880358,317
1730379696.88853,319
1730379696.896737,320
1730379696.904943,320
1730379696.9131231,327
1730379696.921383,320
1730379696.929526,329
1730379696.93778,328
1730379696.945941,325
1730379696.954104,325
1730379696.962305,316
1730379696.970521,317
1730379696.978706,313
1730379696.986866,314
1730379696.995098,314
1730379697.00325,308
1730379697.0115561,318
1730379697.019682,312
1730379697.027819,316
1730379697.036046,317
1730379697.044204,316
1730379697.0523882,322
1730379697.06062,316
1730379697.06881,321
1730379697.076997,319
1730379697.085189,318
1730379697.093416,320
1730379697.1015759,316
1730379697.1098082,323
1730379697.117996,319
1730379697.126163,321
1730379697.138387,324
1730379697.146587,319
1730379697.154763,322
1730379697.162914,314
1730379697.171169,321
1730379697.179359,320
1730379697.1874912,318
1730379697.195761,322
1730379697.203907,317
1730379697.212136,321
1730379697.220316,314
1730379697.228498,326
1730379697.2367518,326
1730379697.244916,324
1730379697.253094,337
1730379697.261277,333
1730379697.269498,339
1730379697.277684,330
1730379697.285839,322
1730379697.294076,324
1730379697.3022459,314
1730379697.310443,320
1730379697.318701,316
1730379697.326841,317
1730379697.335055,322
1730379697.34324,313
1730379697.351424,321
1730379697.359586,317
1730379697.367817,320
1730379697.375983,320
1730379697.384177,313
1730379697.392386,293
1730379697.4005382,276
1730379697.408779,288
1730379697.4169128,419
1730379697.425118,536
1730379697.4333382,574
1730379697.4415722,494
1730379697.449806,397
1730379697.457933,328
1730379697.4661288,315
1730379697.474211,316
1730379697.482389,304
1730379697.490675,307
1730379697.498803,303
1730379697.507041,307
1730379697.515253,305
1730379697.527571,305
1730379697.535695,311
1730379697.543913,303
1730379697.552047,312
1730379697.5602372,304
1730379697.56846,309
1730379697.576635,317
1730379697.584827,313
1730379697.59306,320
1730379697.6012359,314
1730379697.6094148,321
1730379697.61763,325
1730379697.625822,321
1730379697.6339982,327
1730379697.642189,319
1730379697.650435,325
1730379697.6585522,325
1730379697.666778,326
1730379697.674981,332
1730379697.6831539,329
1730379697.69137,331
1730379697.699487,322
1730379697.707768,323
1730379697.715847,317
1730379697.724106,307
1730379697.7323341,316
1730379697.740447,312
1730379697.748755,315
1730379697.756789,311
1730379697.765066,316
1730379697.773178,322
1730379697.78145,312
1730379697.789568,319
1730379697.7978299,317
1730379697.8060212,319
1730379697.814226,323
1730379697.822409,317
1730379697.830529,322
1730379697.838721,319
1730379697.846951,322
1730379697.855223,320
1730379697.863381,319
1730379697.871586,322
1730379697.879798,317
1730379697.887958,326
1730379697.8961751,319
1730379697.9042718,315
1730379697.912575,326
1730379697.924732,318
1730379697.932992,322
1730379697.941211,317
1730379697.9493601,324
1730379697.9575381,329
1730379697.9656901,323
1730379697.973835,333
1730379697.9821482,335
1730379697.99029,339
1730379697.998518,334
1730379698.006662,333
1730379698.014787,332
1730379698.023026,317
1730379698.031175,324
1730379698.039402,320
1730379698.0476182,320
1730379698.055833,325
1730379698.0639858,320
1730379698.0721972,323
1730379698.0804129,318
1730379698.088576,324
1730379698.096757,321
1730379698.10498,320
1730379698.113145,322
1730379698.121345,291
1730379698.12957,285
1730379698.1377459,287
1730379698.145983,417
1730379698.154138,540
1730379698.1623738,582
1730379698.170571,503
1730379698.1787899,388
1730379698.186976,332
1730379698.1951401,320
1730379698.2033238,310
1730379698.211503,312
1730379698.219701,302
1730379698.2279181,306
1730379698.2360058,304
1730379698.244257,304
1730379698.252434,312
1730379698.260653,301
1730379698.268764,311
1730379698.27702,310
1730379698.285181,309
1730379698.293327,312
1730379698.301564,311
1730379698.313845,321
1730379698.3220391,314
1730379698.330183,319
1730379698.338329,317
1730379698.3465889,313
1730379698.354778,321
1730379698.3630779,318
1730379698.37125,326
1730379698.3793778,318
1730379698.3875751,322
1730379698.395783,329
1730379698.403957,323
1730379698.41216,331
1730379698.420331,327
1730379698.4285572,331
1730379698.436723,324
1730379698.444971,317
1730379698.45316,322
1730379698.461357,309
1730379698.469536,317
1730379698.477762,319
1730379698.485915,317
1730379698.494103,320
1730379698.502293,318
1730379698.510516,327
1730379698.518767,321
1730379698.526911,320
1730379698.535093,324
1730379698.543274,326
1730379698.551491,332
1730379698.559639,322
1730379698.567889,327
1730379698.576056,325
1730379698.584216,322
1730379698.592414,327
1730379698.600587,323
1730379698.608804,327
1730379698.616978,322
1730379698.625184,320
1730379698.633302,325
1730379698.641588,320
1730379698.64978,327
1730379698.657988,319
1730379698.6661649,325
1730379698.674297,326
1730379698.682554,328
1730379698.690659,331
1730379698.6988301,327
1730379698.711182,339
1730379698.7193742,338
1730379698.727572,340
1730379698.735795,339
1730379698.743947,324
1730379698.752149,322
1730379698.760352,318
1730379698.768519,324
1730379698.776808,320
1730379698.784944,320
1730379698.7930722,326
1730379698.801284,317
1730379698.809508,323
1730379698.817664,322
1730379698.825906,320
1730379698.834118,325
1730379698.8422809,317
1730379698.85037,296
1730379698.858664,278
1730379698.8668249,302
1730379698.875057,469
1730379698.883271,593
1730379698.891447,617
1730379698.8996701,476
1730379698.907733,369
1730379698.915933,326
1730379698.924076,312
1730379698.932255,312
1730379698.940511,298
1730379698.9486809,307
1730379698.956814,300
1730379698.965006,302
1730379698.973197,305
1730379698.9814148,297
1730379698.989671,307
1730379698.997782,302
1730379699.006036,307
1730379699.014192,310
1730379699.022432,305
1730379699.030626,310
1730379699.038786,307
1730379699.047029,313
1730379699.055192,314
1730379699.063402,315
1730379699.071607,320
1730379699.079829,313
1730379699.088007,322
1730379699.1002219,314
1730379699.108358,316
1730379699.116601,323
1730379699.124819,322
1730379699.133038,329
1730379699.1413178,320
1730379699.14929,323
1730379699.1574998,321
1730379699.165729,316
1730379699.1739469,316
1730379699.182066,310
1730379699.190271,317
1730379699.198503,311
1730379699.206699,310
1730379699.2148328,316
1730379699.223028,312
1730379699.231224,319
1730379699.2394428,315
1730379699.24767,320
1730379699.255871,320
1730379699.264044,318
1730379699.272253,322
1730379699.28037,317
1730379699.288666,323
1730379699.296874,318
1730379699.3049622,321
1730379699.3131368,323
1730379699.3213482,315
1730379699.329639,323
1730379699.337822,318
1730379699.34604,318
1730379699.3542342,320
1730379699.362429,319
1730379699.3706229,323
1730379699.3787992,315
1730379699.3870258,324
1730379699.3951979,317
1730379699.403384,318
1730379699.4115999,321
1730379699.419768,316
1730379699.427972,327
1730379699.436161,326
1730379699.4443898,333
1730379699.452558,340
1730379699.460769,331
1730379699.46896,336
1730379699.477144,325
1730379699.489356,325
1730379699.497549,315
1730379699.5057228,316
1730379699.513946,324
1730379699.5221062,315
1730379699.530296,319
1730379699.5384908,318
1730379699.546746,321
1730379699.5548959,322
1730379699.563097,318
1730379699.5713,324
1730379699.579454,316
1730379699.587738,304
1730379699.5958872,284
1730379699.604059,272
1730379699.6122408,387
1730379699.6204538,556
1730379699.628623,640
1730379699.636812,549
1730379699.6450539,397
1730379699.6532109,333
1730379699.661412,312
1730379699.669609,314
1730379699.6777952,303
1730379699.685985,301
1730379699.694209,301
1730379699.702417,299
1730379699.710578,306
1730379699.718761,299
1730379699.7269728,305
1730379699.735109,303
1730379699.743366,302
1730379699.751532,307
1730379699.759773,304
1730379699.767976,314
1730379699.7761312,308
1730379699.784307,311
1730379699.7925272,314
1730379699.800713,310
1730379699.808934,317
1730379699.817024,314
1730379699.825228,317
1730379699.833453,318
1730379699.841561,317
1730379699.849845,324
1730379699.858043,317
1730379699.866219,324
1730379699.878449,325
1730379699.8866172,326
1730379699.894872,325
1730379699.903032,313
1730379699.911226,318
1730379699.919426,311
1730379699.927594,313
1730379699.93581,315
1730379699.9440231,310
1730379699.9522,316
1730379699.960385,311
1730379699.9685812,316
1730379699.976845,314
1730379699.984996,316
1730379699.9931798,323
1730379700.0013928,314
1730379700.0095592,323
1730379700.017808,319
1730379700.0259688,323
1730379700.034118,322
1730379700.042335,316
1730379700.050467,322
1730379700.058771,316
1730379700.066904,322
1730379700.075132,320
1730379700.083294,317
1730379700.091551,321
1730379700.0996869,313
1730379700.107898,321
1730379700.1160882,320
1730379700.1241841,316
1730379700.1324632,317
1730379700.14065,315
1730379700.14881,324
1730379700.1569438,318
1730379700.1651928,318
1730379700.1733088,320
1730379700.18159,325
1730379700.1897368,328
1730379700.198045,324
1730379700.2061388,337
1730379700.214387,336
1730379700.222548,333
1730379700.230706,332
1730379700.2389498,318
1730379700.24716,318
1730379700.255312,313
1730379700.267605,319
1730379700.275744,321
1730379700.283966,315
1730379700.2921689,324
1730379700.300357,319
1730379700.3085241,318
1730379700.316759,316
1730379700.3249102,314
1730379700.333132,321
1730379700.341259,312
1730379700.349486,291
1730379700.357674,276
1730379700.365939,295
1730379700.3739882,451
1730379700.382288,573
1730379700.3903959,611
1730379700.398578,479
1730379700.406821,367
1730379700.414978,316
1730379700.423232,307
1730379700.431417,310
1730379700.4396448,298
1730379700.44777,303
1730379700.4559832,301
1730379700.4642,297
1730379700.472411,302
1730379700.480566,296
1730379700.488767,304
1730379700.496966,302
1730379700.505145,305
1730379700.5133388,306
1730379700.521565,303
1730379700.5297549,314
1730379700.537899,309
1730379700.546135,313
1730379700.554327,312
1730379700.562499,314
1730379700.570661,319
1730379700.578881,312
1730379700.5870888,320
1730379700.595273,319
1730379700.603464,322
1730379700.611719,325
1730379700.619884,319
1730379700.6280599,324
1730379700.6362429,320
1730379700.648488,325
1730379700.656607,322
1730379700.6648011,317
1730379700.673037,319
1730379700.6812391,312
1730379700.6894112,314
1730379700.697591,310
1730379700.705784,311
1730379700.713965,312
1730379700.722181,311
1730379700.730379,318
1730379700.7386081,314
1730379700.746754,320
1730379700.7549691,320
1730379700.763155,315
1730379700.771358,321
1730379700.779555,315
1730379700.787738,321
1730379700.795891,317
1730379700.8041081,322
1730379700.812298,326
1730379700.82049,320
1730379700.828749,328
1730379700.8369029,320
1730379700.84511,318
1730379700.853305,320
1730379700.8614888,319
1730379700.86965,329
1730379700.8779142,318
1730379700.8860931,318
1730379700.89427,316
1730379700.902455,315
1730379700.910676,323
1730379700.9188259,318
1730379700.927029,328
1730379700.935232,323
1730379700.943448,325
1730379700.951653,333
1730379700.959807,331
1730379700.967982,341
1730379700.976193,332
1730379700.984391,329
1730379700.9925718,320
1730379701.000747,308
1730379701.008961,316
1730379701.0171719,313
1730379701.025331,317
1730379701.033522,317
1730379701.0457652,317
1730379701.053959,317
1730379701.062093,316
1730379701.070323,318
1730379701.078506,313
1730379701.086719,318
1730379701.0948741,311
1730379701.103111,283
1730379701.111302,283
1730379701.119471,317
1730379701.127765,477
1730379701.135869,560
1730379701.144078,545
1730379701.152267,452
1730379701.16047,358
1730379701.1686559,323
1730379701.176866,310
1730379701.185056,310
1730379701.1932318,309
1730379701.2014232,302
1730379701.209635,312
1730379701.217814,307
1730379701.226033,309
1730379701.2341928,311
1730379701.2424178,306
1730379701.2506151,313
1730379701.258807,307
1730379701.266989,314
1730379701.275135,317
1730379701.283335,314
1730379701.2915368,321
1730379701.2997382,321
1730379701.307895,325
1730379701.316136,323
1730379701.324299,328
1730379701.332497,328
1730379701.3406699,322
1730379701.348907,328
1730379701.3570318,324
1730379701.365176,326
1730379701.373475,322
1730379701.381577,326
1730379701.3898282,334
1730379701.3979971,323
1730379701.406225,328
1730379701.4144158,322
1730379701.422613,318
1730379701.434849,314
1730379701.443072,310
1730379701.4512792,315
1730379701.459427,311
1730379701.467703,316
1730379701.475829,316
1730379701.484025,318
1730379701.49221,325
1730379701.500389,320
1730379701.5086,322
1730379701.516795,316
1730379701.524977,320
1730379701.533168,324
1730379701.541373,322
1730379701.549561,326
1730379701.557773,323
1730379701.565933,322
1730379701.574163,321
1730379701.58236,320
1730379701.590414,325
1730379701.598738,315
1730379701.60688,325
1730379701.615024,326
1730379701.623254,321
1730379701.6313999,327
1730379701.6396952,323
1730379701.647844,328
1730379701.656049,329
1730379701.664212,331
1730379701.672385,336
1730379701.680522,336
1730379701.688822,347
1730379701.696984,342
1730379701.7051861,341
1730379701.7133281,330
1730379701.721577,318
1730379701.72979,328
1730379701.737964,324
1730379701.7461739,328
1730379701.7543669,321
1730379701.762552,323
1730379701.7707698,324
1730379701.778934,317
1730379701.7871182,327
1730379701.7953439,323
1730379701.803518,321
1730379701.811751,322
1730379701.8199081,293
1730379701.8321338,287
1730379701.840279,285
1730379701.8485188,419
1730379701.856677,519
1730379701.8649092,563
1730379701.873106,487
1730379701.881259,384
1730379701.889429,338
1730379701.897714,319
1730379701.905855,314
1730379701.914044,312
1730379701.922218,304
1730379701.9304461,311
1730379701.938642,303
1730379701.9468632,310
1730379701.955054,307
1730379701.963244,307
1730379701.971435,312
1730379701.979647,307
1730379701.9878058,317
1730379701.995988,311
1730379702.0041962,311
1730379702.012373,311
1730379702.0205739,315
1730379702.028776,322
1730379702.036958,312
1730379702.045142,320
1730379702.053353,322
1730379702.061535,321
1730379702.069748,326
1730379702.077962,320
1730379702.0862532,328
1730379702.094338,324
1730379702.102504,326
1730379702.11077,334
1730379702.118911,322
1730379702.127108,326
1730379702.135288,318
1730379702.143494,320
1730379702.15169,319
1730379702.159877,312
1730379702.168092,313
1730379702.17628,312
1730379702.184449,320
1730379702.192637,317
1730379702.200843,317
1730379702.20902,322
1730379702.221257,314
1730379702.22944,323
1730379702.237598,323
1730379702.2457962,323
1730379702.254009,328
1730379702.262202,324
1730379702.2704158,326
1730379702.2786071,324
1730379702.2867699,324
1730379702.2950022,322
1730379702.3031301,320
1730379702.3113432,329
1730379702.3195431,322
1730379702.327728,324
1730379702.335924,318
1730379702.344137,315
1730379702.3523378,325
1730379702.36052,326
1730379702.3687308,335
1730379702.376907,338
1730379702.385063,340
1730379702.3933172,337
1730379702.401514,333
1730379702.409649,330
1730379702.417902,315
1730379702.4260879,317
1730379702.43426,317
1730379702.442492,313
1730379702.450665,323
1730379702.458859,322
1730379702.467098,319
1730379702.475254,316
1730379702.4834292,321
1730379702.491634,317
1730379702.4998221,314
1730379702.507995,324
1730379702.5161731,298
1730379702.524385,288
1730379702.532464,282
1730379702.5407948,362
1730379702.5489678,498
1730379702.5571442,559
1730379702.5652401,519
1730379702.5735319,413
1730379702.581656,343
1730379702.589826,320
1730379702.5980911,314
1730379702.6062,317
1730379702.618559,301
1730379702.626741,306
1730379702.6349409,310
1730379702.643116,305
1730379702.6512792,309
1730379702.659492,304
1730379702.667746,311
1730379702.675902,312
1730379702.684078,315
1730379702.692273,317
1730379702.700479,312
1730379702.7086139,318
1730379702.716888,308
1730379702.725064,313
1730379702.7332668,314
1730379702.7414432,312
1730379702.7496269,319
1730379702.757845,315
1730379702.766028,319
1730379702.77424,320
1730379702.7824,317
1730379702.7905548,321
1730379702.798785,317
1730379702.8068988,320
1730379702.8151932,313
1730379702.823304,317
1730379702.831491,320
1730379702.839725,315
1730379702.8478432,318
1730379702.856101,311
1730379702.864299,316
1730379702.872493,313
1730379702.880744,310
1730379702.8888252,317
1730379702.8970869,313
1730379702.905199,324
1730379702.913454,320
1730379702.921674,321
1730379702.9298408,320
1730379702.938039,317
1730379702.946233,323
1730379702.9543731,320
1730379702.962538,323
1730379702.970724,322
1730379702.978919,322
1730379702.9871519,325
1730379702.995382,316
1730379703.0076349,326
1730379703.015798,319
1730379703.0240178,315
1730379703.032115,327
1730379703.040389,327
1730379703.0484962,335
1730379703.056799,334
1730379703.0649369,339
1730379703.0730822,337
1730379703.081336,326
1730379703.089495,331
1730379703.097729,316
1730379703.105931,316
1730379703.114072,317
1730379703.122328,318
1730379703.130506,321
1730379703.1386912,314
1730379703.146914,316
1730379703.1550798,312
1730379703.163244,318
1730379703.171477,321
1730379703.179739,318
1730379703.18785,325
1730379703.196037,301
1730379703.204256,287
1730379703.2124329,279
1730379703.220638,378
1730379703.2288241,538
1730379703.23701,609
1730379703.2452228,531
1730379703.2533991,391
1730379703.261576,331
1730379703.269849,320
1730379703.2779882,308
1730379703.286175,309
1730379703.294386,297
1730379703.302567,301
1730379703.310735,307
1730379703.318936,302
1730379703.327146,309
1730379703.335331,303
1730379703.343544,311
1730379703.3517609,307
1730379703.359902,304
1730379703.368119,307
1730379703.376313,304
1730379703.384493,314
1730379703.396707,311
1730379703.404923,311
1730379703.4130518,314
1730379703.4212968,311
1730379703.429503,321
1730379703.437691,314
1730379703.445909,320
1730379703.45406,319
1730379703.462219,313
1730379703.470468,322
1730379703.4786549,318
1730379703.486839,323
1730379703.495031,322
1730379703.503257,325
1730379703.511412,324
1730379703.519639,315
1730379703.5278668,318
1730379703.535973,309
1730379703.544182,311
1730379703.5524218,321
1730379703.5605729,316
1730379703.568789,320
1730379703.576998,317
1730379703.585147,318
1730379703.5934238,313
1730379703.60154,321
1730379703.609709,325
1730379703.617943,324
1730379703.626101,331
1730379703.634309,325
1730379703.642519,326
1730379703.650748,326
1730379703.658901,321
1730379703.667087,327
1730379703.675285,319
1730379703.683466,326
1730379703.691627,325
1730379703.699878,324
1730379703.7080698,326
1730379703.716275,318
1730379703.7244532,328
1730379703.732532,327
1730379703.740742,330
1730379703.7490308,339
1730379703.757202,333
1730379703.765291,342
1730379703.773571,336
1730379703.781718,330
1730379703.794017,321
1730379703.802211,317
1730379703.8104079,325
1730379703.818604,319
1730379703.826876,324
1730379703.8349829,318
1730379703.8431842,319
1730379703.851341,322
1730379703.8596191,316
1730379703.8677561,325
1730379703.875967,318
1730379703.8841012,318
1730379703.8924239,310
1730379703.900554,284
1730379703.9087071,285
1730379703.9168892,357
1730379703.9251258,535
1730379703.933328,629
1730379703.9414852,559
1730379703.949745,412
1730379703.9578922,334
1730379703.966053,321
1730379703.974238,311
1730379703.982453,307
1730379703.990538,309
1730379703.998844,303
1730379704.007052,305
1730379704.0152261,298
1730379704.023305,309
1730379704.031563,308
1730379704.03981,304
1730379704.0479949,313
